column_ref,code,description,notes
"offence.offence_code / reported_offence.offence_code","23101","Disobeys or fails to comply with any rule or regulation applying to him","name=YOI_55_26; nomisCode=55:26; paragraph=26; withOthersNomisCode=55:29AI; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","2001","Detains any person against his will","name=YOI_55_3A; nomisCode=55:3A; paragraph=3; withOthersNomisCode=55:29K; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","2021","Detains any person against his will","name=YOI_55_3A; nomisCode=55:3A; paragraph=3; withOthersNomisCode=55:29K; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","2002","Detains any person against his will","name=YOI_55_3C; nomisCode=55:3C; paragraph=3; withOthersNomisCode=55:29M; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","2003","Detains any person against his will","name=YOI_55_3D; nomisCode=55:3D; paragraph=3; withOthersNomisCode=55:29N; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","2004","Detains any person against his will","name=YOI_55_3B; nomisCode=55:3B; paragraph=3; withOthersNomisCode=55:29L; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","3001","Denies access to any part of the young offender institution to any officer or any person (other than an inmate) who is at the young offender institution for the purpose of working there","name=YOI_55_4; nomisCode=55:4; paragraph=4; withOthersNomisCode=55:29H; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","6001","Intentionally obstructs an officer in the execution of his duty, or any person (other than an inmate) who is at the young offender institution for the purpose of working there, in the performance of his work","name=YOI_55_7; nomisCode=55:7; paragraph=7; withOthersNomisCode=55:29R; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","18001","Absents himself from any place where he is required to be or is present at any place where he is not authorised to be","name=YOI_55_20A; nomisCode=55:20A; paragraph=20; withOthersNomisCode=55:29AB; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","18002","Absents himself from any place where he is required to be or is present at any place where he is not authorised to be","name=YOI_55_20B; nomisCode=55:20B; paragraph=20; withOthersNomisCode=55:29AO; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","21001","Intentionally fails to work properly or, being required to work, refuses to do so","name=YOI_55_24; nomisCode=55:24; paragraph=24; withOthersNomisCode=55:29AL; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","2600124","Fails to comply with any payback punishment","name=YOI_55_26A_24; nomisCode=55:26A (24); paragraph=26(a); withOthersNomisCode=55:26A (24); applicableVersions=2"
"offence.offence_code / reported_offence.offence_code","0","","name=MIGRATED_OFFENCE; nomisCode=; paragraph=; withOthersNomisCode=; applicableVersions=1|2"
